production_environment,market_segment_count
Lowlands,126
All relevant production environments,47
Low Altitude; Mid Altitude,37
Upland,31
Highlands,15
Semiarid Lowlands; Subhumid Mid Altitude,15
Sahelian Zone,13
Guinea zone; Sudan,11
Optimum,10
Semiarid Lowland Tropics; Subhumid Lowland Tropics,10
Drylands,10
Sahel savanna; Sudan Savanna,9
Guinea Savannah; Sahelian Zone; Sudan,9
Semiarid,8
Lowlands; Savanna,8
Highlands; Mid Altitude,7
Guinea Savannah; Sudan Savanna,7
Tropical Lowlands,7
Subhumid Mid Altitude,7
Highlands; Mid,7
Mid Altitude; Savanna,7
"Drought, heat and salinity prone environment",7
Arid; Semiarid,6
High Altitude; Mid Altitude,6
Subhumid Tropical Savanna,6
Mid Altitude,6
Lowlands; Mid Altitude,6
Andean Highlands,6
Lowlands; Mid; Temperate,6
Derived Savanna; Humid Forest; Northern & Southern Guinea Savanna,5
Mid Altitude; Tropical Lowlands,5
Drought Prone,5
Semiarid Tropics,5
"Drought, heat and salinity prone environment; Lowlands; Subtropical",5
Coastal; Highlands; Mid Altitude,4
High Altitude; Mid Altitude; Subhumid,4
Low Altitude; Mid Altitude; Semiarid,4
Northern Guinea Savanna,4
Sahelian Zone; Sudan Savanna,4
Low Altitude,4
Subtropical; Tropical Lowlands,4
Subtropical; Tropical highlands,4
Lowlands; Subtropical; Tropical highlands,4
Lowlands; Temperate,4
Drought Prone; Lowlands,4
Optimum environment,4
High virus (SPVD) pressure environment,4
Megadeltas; Tropical,4
Humid Lowlands,3
Winter,3
Northern Guinea Savanna; Sudan Savanna,3
Warm Subhumid Tropics,3
Warm Tropical Drylands,3
,3
Cereal System,3
Dry; Mid Altitude; Transition Ecologies; Wet,3
Sudanian Zone,3
Heat Stress,3
Submerged,3
Tropical,3
Humid tropical Amazon,3
Arid; Semi-arid,3
Cold; Drought Prone,3
Post rainy season; Rice Fallow; Semi-arid; Winter,2
Spring,2
High Altitude; Semiarid; Subhumid Mid Altitude,2
Drylands; Indogangetic Plain; Low Temperature; Post rainy season; Semi-arid; Warm Tropics; Warm Tropics Subhumid; Winter,2
Cool; Low Rainfall; Nile Valley,2
Guinea Savannah; Sudan,2
Guinea Savannah,2
Semiarid Tropics; Tropical Lowlands,2
Tropical Lowlands; Waterlogged,2
Lowland Tropics; Semiarid Tropics,2
Lowland Tropics,2
Lowland Tropics; Waterlogged,2
Mid Altitude; Tropical,2
High Altitude; Semiarid,2
Mid Altitude; Semiarid; Subhumid,2
Drylands; Semiarid Tropics,2
Temperate,2
Semi-arid,2
Arid,2
Drought and heat prone environment,2
Tropics,2
Cold,2
Semi optimum - drought,2
Derived Guinea Savanna; Humid Forest,2
Dry Highlands; Gallery Forest; Humid; Rainforest; Savanna,1
CMD; Semiarid Lowland Tropics; Subhumid Lowland Tropics,1
Dry Highlands; Gallery Forest; Rainforest; Savanna humid,1
Drylands; Post rainy season; Semi-arid; Warm Subtropical Humid; Warm Tropics; Warm Tropics Subhumid; Winter,1
Cool; Low Rainfall,1
High Rainfall; Highlands; Nile Valley,1
High Rainfall; Highlands,1
Humid Tropical Savanna,1
Rice Fallow,1
Northern Guinea Savanna; Sudan,1
Derived Guinea Savanna; Sudan,1
High Altitude; High Rainfall; Medium Rainfall,1
Rice System,1
Dry; Lowlands; Mid Altitude; Wet,1
High Altitude; Mid Altitude; Wet,1
Mid Altitude; Wet,1
Dry; Mid Altitude,1
Guinea zone,1
Guinea zone; Savanna; Sudanian Zone,1
Savanna,1
High Altitude; Subhumid,1
Drylands; Semiarid,1
Drought Prone; Semiarid Tropics,1
Sahel savanna,1
Low Altitude; Semiarid,1
Lowlands; Subhumid Mid Altitude,1
Tropical; Upland,1
Lowlands; Upland,1
Flood Prone; Lowlands,1
Post rainy season; Sahelian Zone,1
Cold; High Altitude; Subhumid Mid Altitude,1
Optimum environment; Semiarid Tropics,1
Indogangetic Plain; Semi-arid,1
Drought prone Savanna; Sahelian Zone,1
African Highlands; Semiarid Lowlands,1
High Altitude,1
Cold; High Altitude,1
Heat Stress; Savanna,1
High Rainfall,1
Optimum; Pampa,1
Heat Stress; Indogangetic Plain,1
Semi optimum - heat,1
Derived Guinea Savanna,1
